ID,GENE_ID,Description
1026_at,1026,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
10260_at,10260,DENN/MADD domain containing 4A
10261_at,10261,"immunoglobulin superfamily, member 6"
10262_at,10262,"splicing factor 3b, subunit 4, 49kDa"
10263_at,10263,CDK2-associated protein 2
10265_at,10265,iroquois homeobox 5
10266_at,10266,receptor (G protein-coupled) activity modifying protein 2
10267_at,10267,receptor (G protein-coupled) activity modifying protein 1
10268_at,10268,receptor (G protein-coupled) activity modifying protein 3
10269_at,10269,"zinc metallopeptidase (STE24 homolog, S. cerevisiae)"
1027_at,1027,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
10270_at,10270,A kinase (PRKA) anchor protein 8
10272_at,10272,follistatin-like 3 (secreted glycoprotein)
10273_at,10273,STIP1 homology and U-box containing protein 1
10274_at,10274,stromal antigen 1
10276_at,10276,neuroepithelial cell transforming gene 1
10277_at,10277,"ubiquitination factor E4B (UFD2 homolog, yeast)"
10278_at,10278,embryonal Fyn-associated substrate
10279_at,10279,"protease, serine, 16 (thymus)"
1028_at,1028,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"
10280_at,10280,"opioid receptor, sigma 1"
10281_at,10281,Down syndrome critical region gene 4
10282_at,10282,BET1 homolog (S. cerevisiae)
10284_at,10284,"Sin3A-associated protein, 18kDa"
10285_at,10285,survival motor neuron domain containing 1
10286_at,10286,breast carcinoma amplified sequence 2
10287_at,10287,regulator of G-protein signaling 19
10288_at,10288,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
10289_at,10289,eukaryotic translation initiation factor 1B
1029_at,1029,"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"
10291_at,10291,"splicing factor 3a, subunit 1, 120kDa"
10293_at,10293,TRAF interacting protein
10294_at,10294,"DnaJ (Hsp40) homolog, subfamily A, member 2"
10295_at,10295,branched chain ketoacid dehydrogenase kinase
10296_at,10296,macrophage erythroblast attacher
10297_at,10297,adenomatosis polyposis coli 2
10298_at,10298,p21(CDKN1A)-activated kinase 4
10299_at,10299,membrane-associated ring finger (C3HC4) 6
103_at,103,"adenosine deaminase, RNA-specific"
1030_at,1030,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"
10300_at,10300,katanin p80 (WD repeat containing) subunit B 1
10301_at,10301,"deleted in lymphocytic leukemia, 1"
10302_at,10302,"small nuclear RNA activating complex, polypeptide 5, 19kDa"
10307_at,10307,"amyloid beta (A4) precursor protein-binding, family B, member 3"
10308_at,10308,zinc finger protein 267
10309_at,10309,cyclin O
1031_at,1031,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
10311_at,10311,Down syndrome critical region gene 3
10312_at,10312,"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3"
10313_at,10313,reticulon 3
10314_at,10314,LanC lantibiotic synthetase component C-like 1 (bacterial)
10316_at,10316,neuromedin U receptor 1
10317_at,10317,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5"
10318_at,10318,TNFAIP3 interacting protein 1
10319_at,10319,"laminin, gamma 3"
1032_at,1032,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"
10320_at,10320,IKAROS family zinc finger 1 (Ikaros)
10321_at,10321,cysteine-rich secretory protein 3
10322_at,10322,SMYD family member 5
10324_at,10324,kelch repeat and BTB (POZ) domain containing 10
10325_at,10325,Ras-related GTP binding B
10326_at,10326,signal-regulatory protein beta 1
10327_at,10327,"aldo-keto reductase family 1, member A1 (aldehyde reductase)"
10328_at,10328,COX4 neighbor
10329_at,10329,transmembrane protein 5
1033_at,1033,cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
10330_at,10330,transmembrane protein 4
10331_at,10331,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
10332_at,10332,"C-type lectin domain family 4, member M"
10333_at,10333,toll-like receptor 6
10336_at,10336,polycomb group ring finger 3
10342_at,10342,TRK-fused gene
10343_at,10343,"polycystic kidney disease (polycystin) and REJ homolog (sperm receptor for egg jelly homolog, sea urchin)"
10346_at,10346,tripartite motif-containing 22
10347_at,10347,"ATP-binding cassette, sub-family A (ABC1), member 7"
10351_at,10351,"ATP-binding cassette, sub-family A (ABC1), member 8"
10352_at,10352,"tryptophanyl tRNA synthetase 2, mitochondrial"
1036_at,1036,"cysteine dioxygenase, type I"
10360_at,10360,"nucleophosmin/nucleoplasmin, 3"
10362_at,10362,high-mobility group 20B
10363_at,10363,high-mobility group 20A
10365_at,10365,Kruppel-like factor 2 (lung)
10367_at,10367,calcium binding atopy-related autoantigen 1
10368_at,10368,"calcium channel, voltage-dependent, gamma subunit 3"
10369_at,10369,"calcium channel, voltage-dependent, gamma subunit 2"
10370_at,10370,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
10371_at,10371,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
10376_at,10376,"tubulin, alpha 1b"
10379_at,10379,"interferon-stimulated transcription factor 3, gamma 48kDa"
1038_at,1038,"cerebellar degeneration-related protein 1, 34kDa"
10381_at,10381,"tubulin, beta 3"
10382_at,10382,"tubulin, beta 4"
10383_at,10383,"tubulin, beta 2C"
10384_at,10384,"butyrophilin, subfamily 3, member A3"
10385_at,10385,"butyrophilin, subfamily 2, member A2"
10388_at,10388,synaptonemal complex protein 2
10389_at,10389,sex comb on midleg-like 2 (Drosophila)
1039_at,1039,"cerebellar degeneration-related protein 2, 62kDa"
10390_at,10390,choline/ethanolamine phosphotransferase 1
10391_at,10391,"coronin, actin binding protein, 2B"
103910_at,103910,myosin regulatory light chain MRLC2
10392_at,10392,nucleotide-binding oligomerization domain containing 1
10393_at,10393,anaphase promoting complex subunit 10
10394_at,10394,proteoglycan 3
10395_at,10395,deleted in liver cancer 1
10396_at,10396,"ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1"
10397_at,10397,N-myc downstream regulated gene 1
10398_at,10398,"myosin, light chain 9, regulatory"
10399_at,10399,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
104_at,104,"adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)"
1040_at,1040,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
10400_at,10400,phosphatidylethanolamine N-methyltransferase
10401_at,10401,"protein inhibitor of activated STAT, 3"
10402_at,10402,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
10403_at,10403,"NDC80 homolog, kinetochore complex component (S. cerevisiae)"
10404_at,10404,plasma glutamate carboxypeptidase
10406_at,10406,WAP four-disulfide core domain 2
10407_at,10407,sperm associated antigen 11B
10409_at,10409,"brain abundant, membrane attached signal protein 1"
1041_at,1041,corneodesmosin
10410_at,10410,interferon induced transmembrane protein 3 (1-8U)
10411_at,10411,Rap guanine nucleotide exchange factor (GEF) 3
10413_at,10413,"Yes-associated protein 1, 65kDa"
10417_at,10417,"spondin 2, extracellular matrix protein"
10418_at,10418,"spondin 1, extracellular matrix protein"
10419_at,10419,protein arginine methyltransferase 5
10420_at,10420,testis-specific kinase 2
10421_at,10421,CD2 (cytoplasmic tail) binding protein 2
10422_at,10422,UBA domain containing 1
10423_at,10423,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)
10424_at,10424,progesterone receptor membrane component 2
10425_at,10425,ariadne homolog 2 (Drosophila)
10426_at,10426,"tubulin, gamma complex associated protein 3"
10427_at,10427,"SEC24 related gene family, member B (S. cerevisiae)"
10428_at,10428,craniofacial development protein 1
1043_at,1043,CD52 molecule
10430_at,10430,transmembrane protein 147
10431_at,10431,translocase of inner mitochondrial membrane 23 homolog (yeast)
10432_at,10432,RNA binding motif protein 14
10434_at,10434,lysophospholipase I
10435_at,10435,CDC42 effector protein (Rho GTPase binding) 2
10436_at,10436,EMG1 nucleolar protein homolog (S. cerevisiae)
10437_at,10437,"interferon, gamma-inducible protein 30"
10438_at,10438,nuclear DNA-binding protein
10439_at,10439,olfactomedin 1
1044_at,1044,caudal type homeobox 1
10440_at,10440,translocase of inner mitochondrial membrane 17 homolog A (yeast)
10443_at,10443,phosphonoformate immuno-associated protein 5
10444_at,10444,zer-1 homolog (C. elegans)
10445_at,10445,microspherule protein 1
10446_at,10446,leucine rich repeat neuronal 2
10449_at,10449,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
1045_at,1045,caudal type homeobox 2
10450_at,10450,peptidylprolyl isomerase E (cyclophilin E)
10451_at,10451,vav 3 guanine nucleotide exchange factor
10452_at,10452,translocase of outer mitochondrial membrane 40 homolog (yeast)
10454_at,10454,mitogen-activated protein kinase kinase kinase 7 interacting protein 1
10455_at,10455,"peroxisomal D3,D2-enoyl-CoA isomerase"
10456_at,10456,HCLS1 associated protein X-1
10457_at,10457,glycoprotein (transmembrane) nmb
10458_at,10458,BAI1-associated protein 2
1046_at,1046,caudal type homeobox 4
10460_at,10460,"transforming, acidic coiled-coil containing protein 3"
10461_at,10461,c-mer proto-oncogene tyrosine kinase
10462_at,10462,"C-type lectin domain family 10, member A"
10463_at,10463,"solute carrier family 30 (zinc transporter), member 9"
10464_at,10464,chromosome 13 open reading frame 24
10465_at,10465,peptidylprolyl isomerase H (cyclophilin H)
10466_at,10466,component of oligomeric golgi complex 5
10467_at,10467,"zinc finger, HIT type 1"
10468_at,10468,follistatin
10469_at,10469,translocase of inner mitochondrial membrane 44 homolog (yeast)
1047_at,1047,calmegin
10471_at,10471,prefoldin subunit 6
10472_at,10472,zinc finger protein 238
10473_at,10473,high mobility group nucleosomal binding domain 4
10474_at,10474,"transcriptional adaptor 3 (NGG1 homolog, yeast)-like"
10475_at,10475,tripartite motif-containing 38
10476_at,10476,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d"
10477_at,10477,"ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)"
10478_at,10478,"solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17"
10479_at,10479,"solute carrier family 9 (sodium/hydrogen exchanger), member 6"
1048_at,1048,carcinoembryonic antigen-related cell adhesion molecule 5
10480_at,10480,"eukaryotic translation initiation factor 3, subunit M"
10481_at,10481,homeobox B13
10482_at,10482,nuclear RNA export factor 1
10483_at,10483,Sec23 homolog B (S. cerevisiae)
10484_at,10484,Sec23 homolog A (S. cerevisiae)
10485_at,10485,chromosome 1 open reading frame 61
10486_at,10486,"CAP, adenylate cyclase-associated protein, 2 (yeast)"
10487_at,10487,"CAP, adenylate cyclase-associated protein 1 (yeast)"
10488_at,10488,cAMP responsive element binding protein 3
10489_at,10489,leucine rich repeat containing 41
10490_at,10490,vesicle transport through interaction with t-SNAREs homolog 1B (yeast)
10491_at,10491,cartilage associated protein
10492_at,10492,"synaptotagmin binding, cytoplasmic RNA interacting protein"
10493_at,10493,vesicle amine transport protein 1 homolog (T. californica)
10494_at,10494,"serine/threonine kinase 25 (STE20 homolog, yeast)"
10495_at,10495,ecto-NOX disulfide-thiol exchanger 2
10497_at,10497,unc-13 homolog B (C. elegans)
10498_at,10498,coactivator-associated arginine methyltransferase 1
10499_at,10499,nuclear receptor coactivator 2
105_at,105,"adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)"
1050_at,1050,"CCAAT/enhancer binding protein (C/EBP), alpha"
10500_at,10500,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C"
10501_at,10501,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
10505_at,10505,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F"
10507_at,10507,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D"
1051_at,1051,"CCAAT/enhancer binding protein (C/EBP), beta"
10512_at,10512,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
10513_at,10513,amyloid beta precursor protein (cytoplasmic tail) binding protein 2
10514_at,10514,MYB binding protein (P160) 1a
10516_at,10516,fibulin 5
10518_at,10518,calcium and integrin binding family member 2
10519_at,10519,calcium and integrin binding 1 (calmyrin)
1052_at,1052,"CCAAT/enhancer binding protein (C/EBP), delta"
10520_at,10520,zinc finger protein 211
10521_at,10521,DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
10522_at,10522,deformed epidermal autoregulatory factor 1 (Drosophila)
10523_at,10523,calcium homeostasis endoplasmic reticulum protein
10524_at,10524,"HIV-1 Tat interacting protein, 60kDa"
10525_at,10525,hypoxia up-regulated 1
10526_at,10526,importin 8
10528_at,10528,nucleolar protein 5A (56kDa with KKE/D repeat)
10529_at,10529,nebulette
1053_at,1053,"CCAAT/enhancer binding protein (C/EBP), epsilon"
10531_at,10531,pitrilysin metallopeptidase 1
10533_at,10533,ATG7 autophagy related 7 homolog (S. cerevisiae)
10534_at,10534,Sjogren's syndrome/scleroderma autoantigen 1
10535_at,10535,"ribonuclease H2, subunit A"
10536_at,10536,leprecan-like 2
10537_at,10537,ubiquitin D
10538_at,10538,"basic leucine zipper transcription factor, ATF-like"
10539_at,10539,glutaredoxin 3
1054_at,1054,"CCAAT/enhancer binding protein (C/EBP), gamma"
10540_at,10540,dynactin 2 (p50)
10541_at,10541,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"
10542_at,10542,hepatitis B virus x interacting protein
10544_at,10544,"protein C receptor, endothelial (EPCR)"
10548_at,10548,transmembrane 9 superfamily member 1
10549_at,10549,peroxiredoxin 4
10550_at,10550,ADP-ribosylation-like factor 6 interacting protein 5
10551_at,10551,anterior gradient homolog 2 (Xenopus laevis)
10552_at,10552,"actin related protein 2/3 complex, subunit 1A, 41kDa"
10553_at,10553,"HIV-1 Tat interactive protein 2, 30kDa"
10554_at,10554,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)"
10555_at,10555,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)"
10556_at,10556,ribonuclease P/MRP 30kDa subunit
10557_at,10557,ribonuclease P/MRP 38kDa subunit
10558_at,10558,"serine palmitoyltransferase, long chain base subunit 1"
10559_at,10559,"solute carrier family 35 (CMP-sialic acid transporter), member A1"
1056_at,1056,carboxyl ester lipase (bile salt-stimulated lipase)
10560_at,10560,"solute carrier family 19 (thiamine transporter), member 2"
10561_at,10561,interferon-induced protein 44
10562_at,10562,olfactomedin 4
10563_at,10563,chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)
10564_at,10564,ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
10565_at,10565,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
10566_at,10566,A kinase (PRKA) anchor protein 3
10567_at,10567,Rab acceptor 1 (prenylated)
1057_at,1057,carboxyl ester lipase pseudogene
10570_at,10570,dihydropyrimidinase-like 4
10572_at,10572,"SIVA1, apoptosis-inducing factor"
10573_at,10573,mitochondrial ribosomal protein L28
10574_at,10574,"chaperonin containing TCP1, subunit 7 (eta)"
10575_at,10575,"chaperonin containing TCP1, subunit 4 (delta)"
10576_at,10576,"chaperonin containing TCP1, subunit 2 (beta)"
10577_at,10577,"Niemann-Pick disease, type C2"
10578_at,10578,granulysin
10579_at,10579,"transforming, acidic coiled-coil containing protein 2"
1058_at,1058,centromere protein A
10580_at,10580,sorbin and SH3 domain containing 1
10581_at,10581,interferon induced transmembrane protein 2 (1-8D)
10584_at,10584,collectin sub-family member 10 (C-type lectin)
10585_at,10585,protein-O-mannosyltransferase 1
